,h,peak_num,t,tide_cyc
314,1.2131698009999998,1,1935-11-10 12:00:00,1
315,1.6703698009999999,1,1935-11-17 18:00:00,1
316,1.152209801,1,1935-12-09 12:00:00,1
317,1.197152117,2,1936-03-21 23:00:00,2
318,1.136192117,1,1936-03-25 01:00:00,1
319,1.136192117,1,1936-09-18 14:00:00,1
320,1.3800321169999998,2,1936-10-01 12:00:00,2
321,1.166672117,1,1936-10-02 13:00:00,1
322,1.197152117,1,1936-10-03 14:00:00,1
323,1.410512117,1,1936-10-17 13:00:00,1
324,1.227632117,1,1936-12-20 05:00:00,1
325,1.2360884779999999,1,1937-02-17 05:00:00,1
326,1.144648478,1,1937-02-18 06:00:00,1
327,1.175128478,1,1937-02-22 08:00:00,1
328,1.144648478,1,1937-03-16 03:00:00,1
329,1.266568478,1,1937-04-27 02:00:00,1
330,1.144648478,1,1937-09-06 13:00:00,1
331,1.297048478,1,1937-10-20 13:00:00,1
332,1.510408478,1,1937-10-23 15:00:00,1
333,1.2056084779999998,1,1937-11-17 11:00:00,1
334,1.2056084779999998,1,1937-11-18 12:00:00,1
335,1.175128478,1,1937-11-19 13:00:00,1
336,1.266568478,1,1937-11-20 14:00:00,1
337,1.2056084779999998,1,1937-12-04 13:00:00,1
338,1.2360884779999999,1,1937-12-18 13:00:00,1
339,1.171481608,1,1938-01-14 11:00:00,1
340,1.1410016079999998,1,1938-01-15 11:00:00,1
341,1.1410016079999998,1,1938-01-16 13:00:00,1
342,1.293401608,1,1938-01-17 13:00:00,1
343,1.201961608,1,1938-02-20 04:00:00,1
344,1.293401608,1,1938-05-30 00:00:00,1
345,1.2629216079999999,1,1938-05-31 01:00:00,1
346,1.2629216079999999,1,1938-06-28 00:00:00,1
347,1.2629216079999999,1,1938-06-29 01:00:00,1
348,1.1410016079999998,1,1938-06-30 02:00:00,1
349,1.7201216080000001,1,1938-09-21 20:00:00,1
350,1.2629216079999999,1,1938-12-06 11:00:00,1
351,1.232441608,1,1938-12-09 13:00:00,1
352,1.171481608,1,1938-12-10 15:00:00,1
353,1.228878331,1,1939-01-06 12:00:00,1
354,1.1679183309999999,1,1939-03-06 13:00:00,1
355,1.137439331,1,1939-03-13 06:00:00,1
356,1.137439331,1,1939-04-30 22:00:00,1
357,1.137439331,1,1939-05-03 00:00:00,1
358,1.442239331,1,1939-05-04 01:00:00,1
359,1.228878331,1,1939-06-18 00:00:00,1
360,1.137439331,1,1939-08-16 01:00:00,1
361,1.137439331,1,1939-08-19 16:00:00,1
362,1.1679183309999999,1,1939-08-30 01:00:00,1
363,1.1983993309999998,1,1939-11-26 12:00:00,1
364,1.137439331,1,1939-12-13 14:00:00,1
365,1.185774472,1,1940-01-15 04:00:00,1
366,1.216254472,1,1940-02-20 09:00:00,1
367,1.1552934719999999,1,1940-03-04 09:00:00,1
368,1.399133472,1,1940-04-20 23:00:00,5
369,1.216254472,1,1940-04-24 02:00:00,1
370,1.1552934719999999,1,1940-05-20 23:00:00,1
371,1.246734472,1,1940-05-23 01:00:00,1
372,1.338174472,1,1940-05-24 02:00:00,1
373,1.1552934719999999,1,1940-05-25 03:00:00,1
374,1.1552934719999999,1,1940-08-02 23:00:00,1
375,1.399133472,4,1940-10-02 13:00:00,6
376,1.216254472,1,1940-10-04 15:00:00,1
377,1.216254472,1,1940-10-30 12:00:00,1
378,1.307693472,1,1940-10-31 12:00:00,1
379,1.246734472,1,1940-11-01 13:00:00,1
380,1.307693472,1,1940-11-02 14:00:00,1
381,1.277214472,1,1940-11-27 10:00:00,1
382,1.185774472,1,1940-12-26 10:00:00,1
383,1.338174472,1,1940-12-27 11:00:00,1
384,1.368654472,1,1940-12-28 12:00:00,1
385,1.429614472,1,1940-12-29 13:00:00,1
386,1.246734472,1,1940-12-30 13:00:00,1
387,1.252475855,1,1941-01-12 12:00:00,1
388,1.252475855,1,1941-01-17 03:00:00,1
389,1.1305558549999999,1,1941-02-14 14:00:00,1
390,1.1305558549999999,1,1941-04-12 00:00:00,1
391,1.1305558549999999,1,1941-05-09 23:00:00,1
392,1.191515855,1,1941-05-11 00:00:00,1
393,1.2219958549999999,1,1941-05-12 01:00:00,1
394,1.161035855,1,1941-05-13 01:00:00,1
395,1.191515855,1,1941-06-06 22:00:00,1
396,1.1305558549999999,1,1941-09-24 15:00:00,1
397,1.191515855,1,1941-09-25 15:00:00,1
398,1.1305558549999999,1,1941-10-22 14:00:00,1
399,1.1305558549999999,1,1941-12-18 12:00:00,1
400,1.218669204,1,1942-01-02 12:00:00,1
401,1.340589204,1,1942-02-07 16:00:00,1
402,1.432029204,1,1942-03-03 13:00:00,2
403,1.157709204,1,1942-05-02 02:00:00,1
404,1.188189204,1,1942-05-03 03:00:00,1
405,1.218669204,1,1942-06-01 02:00:00,1
406,1.157709204,1,1942-07-28 01:00:00,1
407,1.188189204,1,1942-09-21 23:00:00,1
408,1.157709204,1,1942-09-24 13:00:00,1
409,1.157709204,1,1942-09-27 15:00:00,1
410,1.188189204,1,1942-10-12 15:00:00,1
411,1.188189204,1,1942-10-13 16:00:00,1
412,1.157709204,1,1942-11-08 13:00:00,1
413,1.157709204,1,1942-11-09 14:00:00,1
414,1.249149204,1,1942-11-10 14:00:00,1
415,1.401549204,1,1942-12-02 08:00:00,1
416,1.188189204,1,1942-12-09 14:00:00,1
417,1.215415144,1,1943-02-06 14:00:00,1
418,1.489735144,1,1943-03-07 01:00:00,1
419,1.306855144,1,1943-04-20 01:00:00,1
420,1.154455144,1,1943-05-21 02:00:00,1
421,1.154455144,1,1943-05-22 03:00:00,1
422,1.184935144,1,1943-06-18 01:00:00,1
423,1.154455144,1,1943-07-18 01:00:00,1
424,1.154455144,1,1943-07-19 02:00:00,1
425,1.154455144,1,1943-07-20 03:00:00,1
426,1.184935144,1,1943-08-16 01:00:00,1
427,1.215415144,1,1943-08-17 02:00:00,1
428,1.215415144,1,1943-09-15 02:00:00,3
429,1.2458951440000001,1,1943-09-30 14:00:00,2
430,1.184935144,1,1943-10-10 23:00:00,1
431,1.154455144,1,1943-10-16 15:00:00,1
432,1.642135144,2,1943-10-27 00:00:00,3
433,1.184935144,1,1943-11-30 15:00:00,1
434,1.303670299,1,1944-01-04 08:00:00,1
435,1.273190299,1,1944-01-05 10:00:00,1
436,1.242710299,1,1944-01-06 10:00:00,1
437,1.151270299,1,1944-04-25 03:00:00,1
438,1.151270299,1,1944-06-20 00:00:00,1
439,1.151270299,1,1944-08-07 03:00:00,1
440,1.151270299,1,1944-08-08 04:00:00,1
441,1.181751299,1,1944-09-05 15:00:00,1
442,1.791350299,1,1944-09-15 01:00:00,1
443,1.181751299,1,1944-10-01 00:00:00,1
444,1.212230299,1,1944-10-02 01:00:00,1
445,1.151270299,1,1944-10-03 14:00:00,1
446,1.181751299,1,1944-10-21 15:00:00,1
447,1.303670299,1,1944-10-28 23:00:00,1
448,1.151270299,1,1944-11-16 14:00:00,1
449,1.151270299,1,1944-11-17 15:00:00,1
450,1.242710299,1,1944-11-18 15:00:00,1
451,1.273190299,1,1944-11-21 17:00:00,1
452,1.212230299,1,1944-11-29 13:00:00,1
453,1.608470299,1,1944-11-30 13:00:00,1
454,1.242710299,1,1944-12-08 20:00:00,1
455,1.273190299,1,1944-12-12 10:00:00,1
456,1.190823893,1,1945-01-14 14:00:00,1
457,1.434664893,1,1945-01-16 15:00:00,1
458,1.1603438929999998,1,1945-02-14 15:00:00,1
459,1.190823893,1,1945-05-04 05:00:00,1
460,1.312743893,1,1945-05-11 00:00:00,1
461,1.1603438929999998,1,1945-05-14 03:00:00,1
462,1.190823893,1,1945-07-28 03:00:00,1
463,1.1603438929999998,1,1945-08-24 01:00:00,1
464,1.190823893,1,1945-08-25 02:00:00,1
465,1.282264893,1,1945-09-18 23:00:00,1
466,1.221304893,1,1945-10-22 13:00:00,1
467,1.190823893,1,1945-10-23 14:00:00,1
468,1.282264893,1,1945-10-24 15:00:00,1
469,1.312743893,2,1945-11-20 00:00:00,2
470,1.4041838930000001,1,1945-11-22 13:00:00,1
471,1.495623893,1,1945-11-29 09:00:00,2
472,1.434664893,3,1945-12-02 11:00:00,3
473,1.4041838930000001,1,1945-12-06 13:00:00,1
474,1.4041838930000001,3,1945-12-20 13:00:00,3
475,1.145097651,1,1946-01-18 13:00:00,1
476,1.175577651,1,1946-01-21 15:00:00,1
477,1.145097651,1,1946-04-03 01:00:00,1
478,1.2974976509999998,3,1946-04-05 02:00:00,3
479,1.2060576509999998,1,1946-05-28 22:00:00,1
480,1.4194176509999998,1,1946-05-29 23:00:00,1
481,1.3279776509999999,1,1946-05-31 00:00:00,1
482,1.3279776509999999,1,1946-06-01 01:00:00,1
483,1.2974976509999998,1,1946-06-02 02:00:00,1
484,1.2974976509999998,1,1946-06-03 02:00:00,1
485,1.236537651,4,1946-10-11 13:00:00,4
486,1.2974976509999998,1,1946-10-12 13:00:00,1
487,1.175577651,1,1946-10-14 15:00:00,1
488,1.267017651,1,1946-11-08 11:00:00,1
489,1.3279776509999999,1,1946-11-10 13:00:00,1
490,1.3279776509999999,1,1946-11-11 14:00:00,1
491,1.145097651,1,1946-11-12 15:00:00,1
492,1.145097651,1,1946-12-10 14:00:00,1
493,1.142102097,1,1947-01-07 12:00:00,1
494,1.172583097,1,1947-02-07 14:00:00,1
495,1.324982097,1,1947-04-22 01:00:00,1
496,1.172583097,1,1947-04-23 02:00:00,1
497,1.142102097,1,1947-05-22 01:00:00,1
498,1.172583097,1,1947-06-17 23:00:00,1
499,1.2030620969999999,1,1947-06-19 00:00:00,1
500,1.2030620969999999,1,1947-06-20 01:00:00,1
501,1.233542097,1,1947-06-21 02:00:00,1
502,1.142102097,1,1947-07-17 23:00:00,1
503,1.233542097,1,1947-08-18 01:00:00,1
504,1.142102097,1,1947-09-15 00:00:00,1
505,1.142102097,1,1947-10-30 12:00:00,1
506,1.4773820969999998,1,1947-10-31 13:00:00,3
507,1.172583097,1,1947-11-02 15:00:00,1
508,1.294502097,1,1947-11-04 17:00:00,1
509,1.172583097,1,1947-11-08 09:00:00,1
510,1.194028555,1,1948-01-02 05:00:00,1
511,1.2245085549999999,1,1948-01-25 11:00:00,1
512,1.163548555,1,1948-02-23 11:00:00,1
513,1.2245085549999999,1,1948-03-23 23:00:00,2
514,1.254988555,1,1948-05-21 23:00:00,1
515,1.163548555,1,1948-06-08 00:00:00,1
516,1.133068555,1,1948-06-09 01:00:00,1
517,1.194028555,1,1948-06-10 02:00:00,1
518,1.254988555,1,1948-07-08 01:00:00,1
519,1.254988555,1,1948-08-06 00:00:00,1
520,1.163548555,1,1948-10-03 13:00:00,1
521,1.133068555,1,1948-10-04 13:00:00,1
522,1.407388555,3,1948-10-06 15:00:00,3
523,1.2245085549999999,1,1948-10-07 16:00:00,1
524,1.2245085549999999,1,1948-11-02 13:00:00,1
525,1.194028555,1,1948-11-03 14:00:00,1
526,1.163548555,1,1948-11-29 11:00:00,1
527,1.285468555,1,1948-11-30 12:00:00,1
528,1.194028555,1,1948-12-16 12:00:00,1
529,1.163548555,1,1948-12-17 13:00:00,1
530,1.285468555,2,1948-12-20 15:00:00,2
531,1.166761549,1,1949-01-15 13:00:00,1
532,1.136280549,1,1949-01-16 13:00:00,1
533,1.227720549,1,1949-01-28 12:00:00,1
534,1.227720549,1,1949-02-15 14:00:00,1
535,1.288681549,1,1949-04-14 01:00:00,1
536,1.166761549,1,1949-04-15 02:00:00,1
537,1.166761549,1,1949-04-16 02:00:00,1
538,1.349641549,1,1949-05-11 23:00:00,1
539,1.319160549,1,1949-05-13 00:00:00,1
540,1.166761549,1,1949-09-23 13:00:00,1
541,1.349641549,6,1949-10-21 12:00:00,6
